Area,BHK,Bathroom,Furnishing,Location,District,Locality,Parking,Status,Transaction,Type,Price
976,2,2,Furnished,Okhla,East Delhi,"Godrej South Estate, Okhla",1,Ready_to_move,New_Property,Apartment,24900000
1500,2,2,Furnished,Okhla,East Delhi,"Godrej South Estate, Okhla",2,Almost_ready,New_Property,Apartment,24700000
976,2,2,Furnished,Okhla,East Delhi,"Godrej South Estate, Okhla",2,Almost_ready,New_Property,Apartment,24900000
675,2,2,Furnished,Laxmi Nagar,East Delhi,Laxmi Nagar,2,Ready_to_move,Resale,Builder_Floor,2400000
900,4,2,Furnished,Laxmi Nagar,East Delhi,Laxmi Nagar,1,Ready_to_move,Resale,Builder_Floor,6600000
1000,3,3,Furnished,Laxmi Nagar,East Delhi,"Laxmi Nagar carpet area 1000 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Furnished bathroom 3 balcony 1 It's a 1st floor Builder Floor Apartment in a building of total 4 floors. The age of construction for this Builder Floor Apartment is between 10 to 15 years. The location has easy access to, Dena Bank (0 km ), Delhi Convent School (0 km ), DDA Market (0 km ) and Nirman Vihar Metro Station (2 km ). read more Contact Owner View Phone No. Share Feedback Owner Vipul Jain",1,Ready_to_move,Resale,Builder_Floor,12500000
1600,4,3,Furnished,Vasundhara,East Delhi,"Mangal Apartment, Vasundhara Enclave carpet area 1600 sqft status Ready to Move floor 4 out of 7 floors transaction Resale furnishing Furnished facing South - East overlooking Garden/Park, Main Road society Mangal Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Fully furnished , complete marble flooring, ready to move in. Contact Owner View Phone No. Share Feedback Owner Shailendra",1,Ready_to_move,Resale,Apartment,20000000
1000,3,2,Furnished,Vasundhara,East Delhi,"Fancy Apartments, Vasundhara Enclave",2,Ready_to_move,Resale,Apartment,12000000
400,2,1,Furnished,Vasundhara,East Delhi,Krishna Nagar Block A,1,Ready_to_move,New_Property,Apartment,2500000
400,2,2,Furnished,Vasundhara,East Delhi,"mind. The space is airy, is well located and can be easily customized as per the needs. Prime facilities are easily accessible from this place with Government Girls Senior Secondary School No 2 (0 km ). Other key neighbourhood are B Block Market (0 km ). read more Contact Owner View Phone No. Share Feedback Owner vinod kumar",1,Ready_to_move,Resale,Builder_Floor,9000000
1450,3,2,Furnished,Vasundhara,East Delhi,"Satyam Apartment, Vasundhara Enclave",1,Ready_to_move,Resale,Apartment,14000000
750,3,2,Furnished,Okhla,East Delhi,"Sukhdev Vihar, Okhla",2,Ready_to_move,Resale,Apartment,13500000
1300,3,3,Furnished,Vasundhara,East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,9200000
900,2,1,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1,Ready_to_move,Resale,Apartment,11000000
450,1,1,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,2000000
400,1,1,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,2000000
729,3,4,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,2600000
450,2,2,Furnished,Budh Vihar,North West Delhi,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,4000000
100,3,2,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 1,1,Ready_to_move,New_Property,Builder_Floor,4300000
4050,6,3,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 1,1,Ready_to_move,Resale,Builder_Floor,5100000
666,1,2,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 1,1,Ready_to_move,Resale,Builder_Floor,3500000
2400,6,4,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 2,1,Ready_to_move,Resale,Builder_Floor,6000000
405,2,3,Furnished,Budh Vihar,North West Delhi,Budh Vihar Phase 2,1,Ready_to_move,Resale,Builder_Floor,6200000
950,2,2,Furnished,Rohini,North West Delhi,"Citizen Apartment, Rohini Sector 13",1,Ready_to_move,Resale,Apartment,15500000
450,1,1,Furnished,Narela,North West Delhi,"DDA Flats Pocket 6 Sector A10, Narela",2,Ready_to_move,Resale,Apartment,2200000
452.0838,2,1,Furnished,Narela,North West Delhi,"DDA Flats Pocket 6 Sector A10, Narela",1,Ready_to_move,Resale,Apartment,3000000
437,1,1,Furnished,Narela,North West Delhi,"DDA Lig Flats, Narela",1,Ready_to_move,New_Property,Apartment,3500000
559.7228,2,2,Furnished,Narela,North West Delhi,Narela,3,Ready_to_move,Resale,Apartment,2850000
990,3,2,Furnished,Narela,North West Delhi,Narela,1,Ready_to_move,Resale,Builder_Floor,5000000
198,1,1,Furnished,Narela,North West Delhi,Narela Sector A5,1,Ready_to_move,Resale,Apartment,1000000
430.556,1,1,Furnished,Rohini,North West Delhi,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",2,Ready_to_move,Resale,Apartment,5300000
2160,4,4,Furnished,Rohini,North West Delhi,Rohini Sector 19,1,Ready_to_move,New_Property,Builder_Floor,21000000
1100,3,3,Furnished,Rohini,North West Delhi,Rohini Sector 20,1,Ready_to_move,New_Property,Builder_Floor,7000000
1030,3,2,Furnished,Rohini,North West Delhi,Rohini Sector 20,1,Ready_to_move,New_Property,Builder_Floor,6200000
28,2,2,Furnished,Rohini,North West Delhi,Rohini Sector 25,1,Ready_to_move,New_Property,Apartment,5000000
850,2,2,Furnished,Shahdara,Shahdara,"Jyoti Colony, Shahdara",1,Ready_to_move,Resale,Builder_Floor,4500000
850,2,2,Furnished,Shahdara,Shahdara,"Jyoti Colony, Shahdara",1,Ready_to_move,Resale,Builder_Floor,4500000
1800,4,3,Furnished,Shahdara,Shahdara,"Kanti Nagar East, Shahdara",,Ready_to_move,Resale,Builder_Floor,35000000
1300,4,3,Furnished,Shahdara,Shahdara,"Mansarowar Park, Shahdara",1,Ready_to_move,New_Property,Builder_Floor,11500000
1053,3,2,Furnished,Shahdara,Shahdara,"Naveen Shahdara, Shahdara",4,Ready_to_move,Resale,Builder_Floor,7000000
1530,5,2,Furnished,Shahdara,Shahdara,"Raghubarpura, Shahdara",,Ready_to_move,Resale,Builder_Floor,10200000
1800,4,2,Furnished,Shahdara,Shahdara,"Rajgarh Colony, Shahdara",,Ready_to_move,Resale,Builder_Floor,17500000
1000,3,2,Furnished,Shahdara,Shahdara,"Rohitash Nagar East, Shahdara",1,Ready_to_move,Resale,Builder_Floor,5650000
1650,4,3,Furnished,Shahdara,Shahdara,Shahdara,1,Almost_ready,New_Property,Apartment,14000000
495.1394,1,1,Furnished,Shahdara,Shahdara,Shahdara,1,Ready_to_move,Resale,Builder_Floor,1900000
1650,4,3,Furnished,Shahdara,Shahdara,Shahdara,1,Almost_ready,New_Property,Apartment,14000000
900,4,1,Furnished,Shahdara,Shahdara,"Shastri Park, Shahdara",1,Ready_to_move,Resale,Apartment,15000000
1017,2,2,Furnished,Shahdara,Shahdara,"Vishwas Nagar, Shahdara",1,Ready_to_move,New_Property,Builder_Floor,6500000
540,2,1,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,New_Property,Apartment,2700000
747,2,2,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,6500000
504,2,1,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,2700000
850,3,2,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,5700000
2430,4,3,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,25000000
2475,3,3,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,70000000
2970,7,4,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,26500000
2250,3,2,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,18500000
1500,5,3,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,30000000
1512,2,2,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,22000000
2160,3,3,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,65000000
630,3,2,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,22500000
324,6,3,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,8700000
720,6,5,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Builder_Floor,22000000
675,4,2,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",2,Ready_to_move,Resale,Builder_Floor,18500000
700,2,1,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",2,Ready_to_move,New_Property,Builder_Floor,16000000
675,4,3,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",2,Ready_to_move,Resale,Builder_Floor,16000000
720,4,2,Furnished,Shahdara,Shahdara,"Yamuna Vihar, Shahdara",2,Ready_to_move,Resale,Builder_Floor,9000000
1800,3,3,Furnished,Alaknanda,South Delhi,"Aravali Apartments, Alaknanda",2,Ready_to_move,New_Property,Apartment,20000000
1800,3,3,Furnished,Alaknanda,South Delhi,"Aravali Apartments, Alaknanda",2,Ready_to_move,New_Property,Apartment,20000000
725,2,2,Furnished,Chhattarpur,South Delhi,Chhattarpur,1,Ready_to_move,Resale,Apartment,3000000
2430,4,4,Furnished,Chittaranjan Park,South Delhi,"Chittaranjan Park carpet area 270 sqyrd status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road car parking 5 Open bathroom 4 balcony 3 ownership Freehold 3 Side Open, Fully ventilated, Close to Market, Above Bank and 24 x 7 ATM because of which good security. Elite Neighbor hood. Very good for Rental Income. Also can be used for commercial Office Purpose by Advocates. read more Contact Owner View Phone No. Share Feedback Owner Mayur Mayur Aggarwal",5,Ready_to_move,Resale,Builder_Floor,30000000
2450,4,4,Furnished,Friends Colony,South Delhi,"Friends Colony West, New Friends Colony",2,Ready_to_move,New_Property,Builder_Floor,70000000
2316,3,4,Furnished,Malviya Nagar,South Delhi,"Geetanjali Enclave, Malviya Nagar",1,Ready_to_move,Resale,Builder_Floor,100000000
1200,2,2,Furnished,Hauz Khas,South Delhi,"Hauz Khas Enclave, Hauz Khas",1,Ready_to_move,Resale,Builder_Floor,27500000
1280,2,2,Furnished,Lajpat Nagar,South Delhi,Lajpat Nagar,1,Ready_to_move,Resale,Builder_Floor,12500000
1350,2,2,Furnished,Lajpat Nagar,South Delhi,Lajpat Nagar 2,4,Ready_to_move,Resale,Builder_Floor,12500000
900,2,2,Furnished,Lajpat Nagar,South Delhi,Lajpat Nagar 2,2,Ready_to_move,Resale,Builder_Floor,11000000
900,2,2,Furnished,Lajpat Nagar,South Delhi,Lajpat Nagar 2,2,Ready_to_move,Resale,Builder_Floor,12500000
1000,2,2,Furnished,Lajpat Nagar,South Delhi,Lajpat Nagar 3,1,Ready_to_move,Resale,Apartment,20000000
1000,2,2,Furnished,Lajpat Nagar,South Delhi,Lajpat Nagar 3,1,Ready_to_move,Resale,Apartment,20000000
1700,3,3,Furnished,Lajpat Nagar,South Delhi,Lajpat Nagar 3,2,Ready_to_move,Resale,Builder_Floor,19000000
810,3,2,Furnished,Mahavir Enclave,South Delhi,Mahavir Enclave,1,Ready_to_move,Resale,Builder_Floor,3800000
950,3,2,Furnished,Mahavir Enclave,South Delhi,Mahavir Enclave Part 1,1,Ready_to_move,New_Property,Builder_Floor,6000000
405,1,1,Furnished,Mehrauli,South Delhi,Mehrauli,1,Ready_to_move,Resale,Apartment,1800000
1675,4,3,Furnished,Mehrauli,South Delhi,Mehrauli,2,Ready_to_move,Resale,Builder_Floor,13500000
450,1,1,Furnished,Mehrauli,South Delhi,Mehrauli,1,Ready_to_move,Resale,Apartment,1700000
1400,3,3,Furnished,Greater Kailash,South Delhi,"Narmada Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor Ground out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road society Narmada Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Near Alaknanda Main Market & Greater Kailash Metro Station. A very good 3 bhk flat for sale in rwa Narmada Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1,Ready_to_move,Resale,Apartment,18000000
1400,3,3,Furnished,Alaknanda,South Delhi,"Narmada Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor Ground out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road society Narmada Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Near Alaknanda Main Market & Greater Kailash Metro Station. A very good 3 bhk flat for sale in rwa Narmada Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1,Ready_to_move,Resale,Apartment,18000000
1800,4,3,Furnished,Sheikh Sarai,South Delhi,"Panchsheel Vihar, Sheikh Sarai",2,Ready_to_move,New_Property,Builder_Floor,5500000
990,3,3,Furnished,Saket,South Delhi,"Press Enclave Society, Saket",1,Ready_to_move,Resale,Apartment,28000000
2100,4,3,Furnished,Saket,South Delhi,Saket,1,Ready_to_move,Resale,Apartment,25500000
2025,4,3,Furnished,Saket,South Delhi,Saket,2,Ready_to_move,Resale,Builder_Floor,30500000
1400,3,3,Furnished,Alaknanda,South Delhi,"Tara Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park society Tara Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 4 ownership Freehold Near Alaknanda Main Market, Jamia Humderd University & Batra hospital. A very good 3 bhk flat for sale in rwa Tara Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. Other f read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1,Ready_to_move,Resale,Apartment,19000000
1400,3,3,Furnished,Alaknanda,South Delhi,"Tara Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park society Tara Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 4 ownership Freehold Near Alaknanda Main Market, Jamia Humderd University & Batra hospital. A very good 3 bhk flat for sale in rwa Tara Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. Other f read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1,Ready_to_move,Resale,Apartment,19000000
1000,2,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar Pocket K",2,Ready_to_move,Resale,Apartment,13000000
1500,3,3,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar Pocket K",2,Ready_to_move,Resale,Apartment,17000000
1150,2,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar Pocket K",2,Ready_to_move,Resale,Apartment,13100000
950,2,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,12900000
1200,3,3,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,13500000
1400,4,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,17800000
950,2,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,13200000
1550,4,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,17500000
950,2,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,12700000
1200,3,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,13500000
1400,4,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,17400000
1500,4,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,17800000
1050,2,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,12700000
1550,4,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,16200000
950,2,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,11100000
1150,2,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,13600000
1150,2,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,12500000
1500,3,2,Furnished,Sarita Vihar,South East Delhi,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",2,Ready_to_move,Resale,Apartment,13600000
1200,2,2,Furnished,Kalkaji,South East Delhi,"Deshbandhu Apartments, Kalkaji",2,Ready_to_move,Resale,Apartment,18500000
1800,2,2,Furnished,Kalkaji,South East Delhi,Kalkaji,1,Ready_to_move,Resale,Builder_Floor,21000000
900,2,2,Furnished,Kalkaji,South East Delhi,Kalkaji,1,Ready_to_move,Resale,Builder_Floor,9000000
1070,3,2,Furnished,Kalkaji,South East Delhi,Kalkaji Extention,1,Ready_to_move,Resale,Apartment,6800000
5500,6,7,Furnished,Safdarjung Enclave,South West Delhi,Safdarjung Enclave,1,Ready_to_move,Resale,Apartment,160000000
1350,3,2,Furnished,Vasant Kunj,South West Delhi,"DDA Pocket 1, Vasant Kunj Sector D",1,Ready_to_move,New_Property,Apartment,24000000
2900,5,5,Furnished,Janakpuri,South West Delhi,Janakpuri Block A3,1,Almost_ready,New_Property,Builder_Floor,51000000
2900,5,5,Furnished,Janakpuri,South West Delhi,Janakpuri Block A3,1,Almost_ready,New_Property,Builder_Floor,51000000
1000,2,2,Furnished,Vasant Kunj,South West Delhi,"Kishangarh, Vasant Kunj",1,Ready_to_move,Resale,Builder_Floor,5000000
500,1,1,Furnished,Manglapuri,South West Delhi,"New Manglapuri, Sultanpur",1,Ready_to_move,Resale,Builder_Floor,2350000
1100,3,2,Furnished,Sultanpur,South West Delhi,Sultanpur,1,Ready_to_move,Resale,Apartment,6000000
900,3,3,Furnished,Vasant Kunj,South West Delhi,Vasant Kunj,2,Ready_to_move,Resale,Builder_Floor,20000000
2000,4,2,Furnished,Vasant Kunj,South West Delhi,Vasant Kunj Sector B,1,Ready_to_move,New_Property,Apartment,40000000
550,1,2,Furnished,Vasant Kunj,South West Delhi,Vasant Kunj Sector D,1,Ready_to_move,Resale,Apartment,7500000
1560,3,2,Furnished,Dwarka,South West Delhi ,"Ashoka Apartments, Dwarka Sector 12",2,Ready_to_move,Resale,Apartment,15800000
1800,4,3,Furnished,Dwarka,South West Delhi ,"Ashoka Enclave Apartment, Dwarka Sector 11",1,Ready_to_move,Resale,Apartment,19200000
1480,3,2,Furnished,Dwarka,South West Delhi ,"Bank Apartments, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,15800000
1400,3,2,Furnished,Dwarka,South West Delhi ,"Chanakya Apartments, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,15000000
750,1,1,Furnished,Dwarka,South West Delhi ,"DDA Flats Sector 14, Dwarka Sector 14",2,Ready_to_move,Resale,Apartment,4600000
1214,2,2,Furnished,Dwarka,South West Delhi ,"Defence Officers Apartment, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,12600000
1900,3,3,Furnished,Dwarka,South West Delhi ,"Gold Croft Apartment, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,25000000
1750,3,3,Furnished,Dwarka,South West Delhi ,"Green Heavens Apartment, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,17200000
1700,3,2,Furnished,Dwarka,South West Delhi ,"Green Heavens Apartment, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,16500000
1650,3,3,Furnished,Dwarka,South West Delhi ,"Hum Sub Apartment, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,18000000
1001,3,2,Furnished,Dwarka,South West Delhi ,"Mitya Homes, Dwarka Mor",1,Ready_to_move,New_Property,Builder_Floor,5800000
2000,4,3,Furnished,Dwarka,South West Delhi ,"Mohinder Apartments, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,31500000
2300,4,4,Furnished,Dwarka,South West Delhi ,"Mohinder Apartments, Dwarka",1,Ready_to_move,Resale,Apartment,31500000
1500,3,2,Furnished,Dwarka,South West Delhi ,"New Jyoti Apartments, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,16200000
1750,3,2,Furnished,Dwarka,South West Delhi ,"PNB Employees Apartment, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,14900000
2700,4,3,Furnished,Dwarka,South West Delhi ,"Sadbhawna CGHS, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,27500000
1600,4,2,Furnished,Dwarka,South West Delhi ,"Sanchar Vihar Apartment, Aashirwaad Chowk, Dwarka",1,Ready_to_move,Resale,Apartment,19500000
1550,3,2,Furnished,Dwarka,South West Delhi ,"Shri Agrasen Apartment, Dwarka Sector 7",2,Ready_to_move,Resale,Apartment,14200000
1250,2,2,Furnished,Moti Nagar,West Delhi,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,Ready_to_move,Resale,Apartment,15000000
1620,3,3,Furnished,Paschim Vihar,West Delhi,"LIC Colony, Paschim Vihar",1,Ready_to_move,New_Property,Builder_Floor,24500000
2152.78,3,3,Furnished,Paschim Vihar,West Delhi,"Mianwali Nagar, Paschim Vihar",2,Ready_to_move,New_Property,Builder_Floor,30000000
861.112,2,2,Furnished,Moti Nagar,West Delhi,"New Moti Nagar, Kirti Nagar",2,Ready_to_move,Resale,Builder_Floor,5000000
1800,3,3,Furnished,Patel Nagar,West Delhi,"Patel Nagar East, Patel Nagar",3,Ready_to_move,Resale,Apartment,50000000
70,2,3,Furnished,Patel Nagar,West Delhi,"Patel Nagar South, Patel Nagar",1,Ready_to_move,New_Property,Builder_Floor,8200000
900,2,2,Furnished,Patel Nagar,West Delhi,Patel Nagar West,3,Ready_to_move,Resale,Builder_Floor,7400000
900,3,2,Furnished,Patel Nagar,West Delhi,Patel Nagar West,2,Ready_to_move,Resale,Builder_Floor,10400000
1800,3,3,Furnished,Punjabi Bagh,West Delhi,Punjabi Bagh East,1,Ready_to_move,Resale,Builder_Floor,27500000
2572,3,3,Furnished,Punjabi Bagh,West Delhi,Punjabi Bagh West,4,Ready_to_move,Resale,Apartment,35000000
